BRD-A92161634	CN1[C@H]2CC3CC1C(O)C2O3
BRD-K37618799	Clc1ccc2nc(NC(=O)Cc3ccccc3)n3nc(nc3c2c1)-c1ccco1
BRD-K72783841	Oc1ccc(C=C(C#N)C(=O)NCCCc2ccccc2)cc1O
BRD-K39462424	CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
BRD-K47869605	COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12
BRD-K86930074	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
BRD-K78659596	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
BRD-K36007650	COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)n3cnc4c(ncnc34)N(C)C)cc1
BRD-K34995470	CC(C)c1cc(/C=C(\C#N)/C(=O)NCCCc2ccccc2)cc(C(C)C)c1O
BRD-K39256324	CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)C=Cc3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O
BRD-K98493452	Oc1ccc(cc1CC=C)-c1cc(CC=C)ccc1O
BRD-K41445866	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
BRD-A20527803	CNC(=O)C1OC(C(O)C1O)n2cnc3c(NCc4cccc(I)c4)ncnc23
BRD-A82371568	Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3F
BRD-K21672174	CS(=O)(=O)c1ccc(cc1)[C@@H](CC1CCCC1)C(=O)Nc1nccs1
BRD-K84595254	C[C@@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]2(O)CC[C@@H]1C5=CC(=O)OC5
BRD-A24643465	COC1=C[C@@]23CCCN3CCc4cc5OCOc5cc4[C@]2(C)C1OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)O
BRD-K39120595	Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
BRD-K32710582	O[C@H](c1ccc2ccccc2c1)P(O)(O)=O
BRD-K24526313	CC1(C)Oc2ccc(cc2[C@H]([C@@H]1O)N1CCCC1=O)C#N
BRD-K56509348	CN(C)c1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C
BRD-A51382177	CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C
BRD-K50168500	Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
BRD-K66206289	CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1
BRD-K73395020	CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2
BRD-A55756846	CC1CNCCN1S(=O)(=O)c2cccc3cnccc23
BRD-K55420858	NC1=NC(=O)\C(S1)=C\c1ccc(O)cc1
BRD-K33818169	OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c2ccccc2)Cc2cccc(c2Cl)C(F)(F)F)c1
BRD-K78122587	CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1
BRD-A82096673	NS(=O)(=O)c1ccc(cc1)N1N=C(CC1c1cccc(Br)c1)c1ccccc1
BRD-K63430059	COc1c2occc2cc2ccc(=O)oc12
BRD-K55677650	Cc1ccc(CC2(O)CCN(CCOc3ccc(O)cc3)CC2)cc1
BRD-A47342814	Oc1ccc2CC3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2ccccc2c1C[C@@]35O
BRD-K68407802	COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC
BRD-K41903098	CCOC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4
BRD-K12932420	CCc1ccc2c(nc(=O)n(CC)c2n1)-c1cccc(Cl)c1
BRD-A45333398	CO[C@@H]1C[C@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)O[C@H](C)[C@@H]1O
BRD-K98548675	C\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
BRD-K96119599	C[C@H]1[C@@H]2CCC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)C)C
BRD-K54472332	COc1cc2n(cc(C(O)=O)c(=O)c2cc1Cc1cccc(Cl)c1F)[C@H](CO)C(C)C
BRD-K40645748	O[C@H]([C@H]1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F
